lemma,first_singular,second_singular,third_singular,first_plural,second_plural,third_plural,provenance
zatražiti,zatražim,zatražiš,zatraži,zatražimo,zatražite,zatraže,wiktionary
uzrokovati,uzrokujem,uzrokuješ,uzrokuje,uzrokujemo,uzrokujete,uzrokuju,wiktionary
raznijeti,raznesem,razneseš,raznese,raznesemo,raznesete,raznesu,wiktionary
primjetiti,primijetim,primijetiš,primijeti,primijetimo,primijetite,primijete,manual
zadovoljiti,zadovoljim,zadovoljiš,zadovolji,zadovoljimo,zadovoljite,zadovolje,wiktionary
pojavljivati,pojavljujem,pojavljuješ,pojavljuje,pojavljujemo,pojavljujete,pojavljuju,wiktionary
promašiti,promašim,promašiš,promaši,promašimo,promašite,promaše,wiktionary
radovati,radujem,raduješ,raduje,radujemo,radujete,raduju,wiktionary
naletjeti,naletim,naletiš,naleti,naletimo,naletite,nalete,manual
svidjati,sviđam,sviđaš,sviđa,sviđamo,sviđate,sviđaju,manual
ponestajati,ponestajem,ponestaješ,ponestaje,ponestajemo,ponestajete,ponestaju,wiktionary
pritisnuti,pritisnem,pritisneš,pritisne,pritisnemo,pritisnete,pritisnu,wiktionary
pružati,pružam,pružaš,pruža,pružamo,pružate,pružaju,wiktionary
ohladiti,ohladim,ohladiš,ohladi,ohladimo,ohladite,ohlade,wiktionary
jahati,jašem,jašeš,jaše,jašemo,jašete,jašu,wiktionary
umreti,umrem,umreš,umre,umremo,umrete,umru,wiktionary
stignuti,stignem,stigneš,stigne,stignemo,stignete,stignu,wiktionary
odavati,odajem,odaješ,odaje,odajemo,odajete,odaju,wiktionary
naviknuti,naviknem,navikneš,navikne,naviknemo,naviknete,naviknu,wiktionary
puhati,pušem,pušeš,puše,pušemo,pušete,pušu,wiktionary
dovršiti,dovršim,dovršiš,dovrši,dovršimo,dovršite,dovrše,wiktionary
ignorirati,ignoriram,ignoriraš,ignorira,ignoriramo,ignorirate,ignoriraju,manual
odreći,odreknem,odrekneš,odrekne,odreknemo,odreknete,odreknu,wiktionary
pronaci,pronađem,pronađeš,pronađe,pronađemo,pronađete,pronađu,manual
dosati,dosadim,dosadiš,dosadi,dosadimo,dosadite,dosade,manual
slusati,slušam,slušaš,sluša,slušamo,slušate,slušaju,manual
privući,privučem,privučeš,privuče,privučemo,privučete,privuku,wiktionary
pretjerati,pretjeram,pretjeraš,pretjera,pretjeramo,pretjerate,pretjeraju,wiktionary
udahnuti,udahnem,udahneš,udahne,udahnemo,udahnete,udahnu,wiktionary
organizirati,organiziram,organiziraš,organizira,organiziramo,organizirate,organiziraju,wiktionary
testirati,testiram,testiraš,testira,testiramo,testirate,testiraju,wiktionary
nadoknaditi,nadoknadim,nadoknadiš,nadoknadi,nadoknadimo,nadoknadite,nadoknade,wiktionary
seriti,serem,sereš,sere,seremo,serete,seru,manual
presvući,presvučem,presvučeš,presvuče,presvučemo,presvučete,presvuku,wiktionary
upamtiti,upamtim,upamtiš,upamti,upamtimo,upamtite,upamte,wiktionary
povratiti,povratim,povratiš,povrati,povratimo,povratite,povrate,wiktionary
trpjeti,trpim,trpiš,trpi,trpimo,trpite,trpe,wiktionary
pokrivati,pokrivam,pokrivaš,pokriva,pokrivamo,pokrivate,pokrivaju,wiktionary
otkrivati,otkrivam,otkrivaš,otkriva,otkrivamo,otkrivate,otkrivaju,wiktionary
izbrisati,izbrišem,izbrišeš,izbriše,izbrišemo,izbrišete,izbrišu,wiktionary
mariti,marim,mariš,mari,marimo,marite,mare,wiktionary
zapeti,zapnem,zapneš,zapne,zapnemo,zapnete,zapnu,manual
vaditi,vadim,vadiš,vadi,vadimo,vadite,vade,wiktionary
žrtvovati,žrtvujem,žrtvuješ,žrtvuje,žrtvujemo,žrtvujete,žrtvuju,manual
uvaliti,uvalim,uvališ,uvali,uvalimo,uvalite,uvale,wiktionary
usredotočiti,usredotočim,usredotočiš,usredotoči,usredotočimo,usredotočite,usredotoče,wiktionary
zaprositi,zaprosim,zaprosiš,zaprosi,zaprosimo,zaprosite,zaprose,wiktionary
ugledati,ugledam,ugledaš,ugleda,ugledamo,ugledate,ugledaju,wiktionary
zeznuti,zeznem,zezneš,zezne,zeznemo,zeznete,zeznu,manual
preminuti,preminem,premineš,premine,preminemo,preminete,preminu,wiktionary
zagrliti,zagrlim,zagrliš,zagrli,zagrlimo,zagrlite,zagrle,wiktionary
uložiti,uložim,uložiš,uloži,uložimo,uložite,ulože,wiktionary
bežati,bežim,bežiš,beži,bežimo,bežite,beže,wiktionary
pregovarati,pregovaram,pregovaraš,pregovara,pregovaramo,pregovarate,pregovaraju,wiktionary
preostati,preostanem,preostaneš,preostane,preostanemo,preostanete,preostanu,wiktionary
večerati,večeram,večeraš,večera,večeramo,večerate,večeraju,wiktionary
opraštati,opraštam,opraštaš,oprašta,opraštamo,opraštate,opraštaju,wiktionary
nahraniti,nahranim,nahraniš,nahrani,nahranimo,nahranite,nahrane,wiktionary
potruditi,potrudim,potrudiš,potrudi,potrudimo,potrudite,potrude,wiktionary
izvršiti,izvršim,izvršiš,izvrši,izvršimo,izvršite,izvrše,wiktionary
goniti,gonim,goniš,goni,gonimo,gonite,gone,wiktionary
pomiriti,pomirim,pomiriš,pomiri,pomirimo,pomirite,pomire,wiktionary
podržati,podržim,podržiš,podrži,podržimo,podržite,podrže,wiktionary
dospjeti,dospijem,dospiješ,dospije,dospijemo,dospijete,dospiju,wiktionary
pokretati,pokrećem,pokrećeš,pokreće,pokrećemo,pokrećete,pokreću,wiktionary
juriti,jurim,juriš,juri,jurimo,jurite,jure,wiktionary
iskopati,iskopam,iskopaš,iskopa,iskopamo,iskopate,iskopaju,wiktionary
paliti,palim,pališ,pali,palimo,palite,pale,wiktionary
počistiti,počistim,počistiš,počisti,počistimo,počistite,počiste,wiktionary
donesti,donesem,doneseš,donese,donesemo,donesete,donesu,manual
odlučivati,odlučujem,odlučuješ,odlučuje,odlučujemo,odlučujete,odlučuju,wiktionary
sletjeti,sletim,sletiš,sleti,sletimo,sletite,slete,manual
pući,puknem,pukneš,pukne,puknemo,puknete,puknu,manual
uvesti,uvezem,uvezeš,uveze,uvezemo,uvezete,uvezu,wiktionary
hvatati,hvatam,hvataš,hvata,hvatamo,hvatate,hvataju,wiktionary
zašutjeti,zašutim,zašutiš,zašuti,zašutimo,zašutite,zašute,manual
sabrati,saberem,sabereš,sabere,saberemo,saberete,saberu,wiktionary
vladati,vladam,vladaš,vlada,vladamo,vladate,vladaju,wiktionary
onesvijestiti,onesvijestim,onesvijestiš,onesvijesti,onesvijestimo,onesvijestite,onesvijeste,manual
brisati,brišem,brišeš,briše,brišemo,brišete,brišu,wiktionary
poznati,poznam,poznaš,pozna,poznamo,poznate,poznaju,wiktionary
zamišljati,zamišljam,zamišljaš,zamišlja,zamišljamo,zamišljate,zamišljaju,wiktionary
skupiti,skupim,skupiš,skupi,skupimo,skupite,skupe,wiktionary
okupiti,okupim,okupiš,okupi,okupimo,okupite,okupe,wiktionary
spati,spim,spiš,spi,spimo,spite,spe,wiktionary
lmati,imam,imaš,ima,imamo,imate,imaju,manual
naići,naiđem,naiđeš,naiđe,naiđemo,naiđete,naiđu,wiktionary
oporaviti,oporavim,oporaviš,oporavi,oporavimo,oporavite,oporave,wiktionary
potvrđivati,potvrđujem,potvrđuješ,potvrđuje,potvrđujemo,potvrđujete,potvrđuju,wiktionary
cutjeti,ćutim,ćutiš,ćuti,ćutimo,ćutite,ćute,manual
prisiliti,prisilim,prisiliš,prisili,prisilimo,prisilite,prisile,wiktionary
odgoditi,odgodim,odgodiš,odgodi,odgodimo,odgodite,odgode,wiktionary
poštediti,poštedim,poštediš,poštedi,poštedimo,poštedite,poštede,manual
izdavati,izdajem,izdaješ,izdaje,izdajemo,izdajete,izdaju,wiktionary
zabrljati,zabrljam,zabrljaš,zabrlja,zabrljamo,zabrljate,zabrljaju,wiktionary
predvidjeti,predvidim,predvidiš,predvidi,predvidimo,predvidite,predvide,wiktionary
uzvratiti,uzvratim,uzvratiš,uzvrati,uzvratimo,uzvratite,uzvrate,manual
podnositi,podnosim,podnosiš,podnosi,podnosimo,podnosite,podnose,wiktionary
namjestiti,namjestim,namjestiš,namjesti,namjestimo,namjestite,namjeste,wiktionary
obraditi,obradim,obradiš,obradi,obradimo,obradite,obrade,wiktionary
zarađivati,zarađujem,zarađuješ,zarađuje,zarađujemo,zarađujete,zarađuju,wiktionary
pišati,pišam,pišaš,piša,pišamo,pišate,pišaju,wiktionary
graditi,gradim,gradiš,gradi,gradimo,gradite,grade,wiktionary
pristupiti,pristupim,pristupiš,pristupi,pristupimo,pristupite,pristupe,wiktionary
uputiti,uputim,uputiš,uputi,uputimo,uputite,upute,wiktionary
prikazivati,prikazujem,prikazuješ,prikazuje,prikazujemo,prikazujete,prikazuju,wiktionary
odvojiti,odvojim,odvojiš,odvoji,odvojimo,odvojite,odvoje,wiktionary
savjetovati,savjetujem,savjetuješ,savjetuje,savjetujemo,savjetujete,savjetuju,wiktionary
požaliti,požalim,požališ,požali,požalimo,požalite,požale,manual
preći,pređem,pređeš,pređe,pređemo,pređete,pređu,wiktionary
odobriti,odobrim,odobriš,odobri,odobrimo,odobrite,odobre,wiktionary
odoljeti,odolim,odoliš,odoli,odolimo,odolite,odole,wiktionary
brojati,brojim,brojiš,broji,brojimo,brojite,broje,wiktionary
gasiti,gasim,gasiš,gasi,gasimo,gasite,gase,wiktionary
ispitivati,ispitujem,ispituješ,ispituje,ispitujemo,ispitujete,ispituju,wiktionary
svidati,sviđam,sviđaš,sviđa,sviđamo,sviđate,sviđaju,manual
skužiti,skužim,skužiš,skuži,skužimo,skužite,skuže,manual
ponestati,ponestanem,ponestaneš,ponestane,ponestanemo,ponestanete,ponestanu,wiktionary
povećati,povećam,povećaš,poveća,povećamo,povećate,povećaju,wiktionary
utvrditi,utvrdim,utvrdiš,utvrdi,utvrdimo,utvrdite,utvrde,wiktionary
navoditi,navodim,navodiš,navodi,navodimo,navodite,navode,wiktionary
dostaviti,dostavim,dostaviš,dostavi,dostavimo,dostavite,dostave,wiktionary
zbiti,zbijem,zbiješ,zbije,zbijemo,zbijete,zbiju,wiktionary
razmotriti,razmotrim,razmotriš,razmotri,razmotrimo,razmotrite,razmotre,wiktionary
preskočiti,preskočim,preskočiš,preskoči,preskočimo,preskočite,preskoče,wiktionary
pokopati,pokopam,pokopaš,pokopa,pokopamo,pokopate,pokopaju,wiktionary
razlikovati,razlikujem,razlikuješ,razlikuje,razlikujemo,razlikujete,razlikuju,wiktionary
proširiti,proširim,proširiš,proširi,proširimo,proširite,prošire,wiktionary
ugroziti,ugrozim,ugroziš,ugrozi,ugrozimo,ugrozite,ugroze,wiktionary
spadati,spadam,spadaš,spada,spadamo,spadate,spadaju,wiktionary
privesti,privedem,privedeš,privede,privedemo,privedete,privedu,wiktionary
prespavati,prespavam,prespavaš,prespava,prespavamo,prespavate,prespavaju,wiktionary
izraziti,izrazim,izraziš,izrazi,izrazimo,izrazite,izraze,wiktionary
stojati,stojim,stojiš,stoji,stojimo,stojite,stoje,manual
isticati,ističem,ističeš,ističe,ističemo,ističete,ističu,wiktionary
olakšati,olakšam,olakšaš,olakša,olakšamo,olakšate,olakšaju,wiktionary
Dodi,dođem,dođeš,dođe,dođemo,dođete,dođu,manual
navratiti,navratim,navratiš,navrati,navratimo,navratite,navrate,wiktionary
prenositi,prenosim,prenosiš,prenosi,prenosimo,prenosite,prenose,wiktionary
razdvojiti,razdvojim,razdvojiš,razdvoji,razdvojimo,razdvojite,razdvoje,wiktionary
razjasniti,razjasnim,razjasniš,razjasni,razjasnimo,razjasnite,razjasne,manual
stisnuti,stisnem,stisneš,stisne,stisnemo,stisnete,stisnu,wiktionary
prelaziti,prelazim,prelaziš,prelazi,prelazimo,prelazite,prelaze,wiktionary
steći,stečem,stečeš,steče,stečemo,stečete,steku,wiktionary
šutjeti,šutim,šutiš,šuti,šutimo,šutite,šute,wiktionary
odvući,odvučem,odvučeš,odvuče,odvučemo,odvučete,odvuku,wiktionary
zaustavljati,zaustavljam,zaustavljaš,zaustavlja,zaustavljamo,zaustavljate,zaustavljaju,wiktionary
otisati,odem,odeš,ode,odemo,odete,odu,manual
dogadjati,događam,događaš,događa,događamo,događate,događaju,manual
stradati,stradam,stradaš,strada,stradamo,stradate,stradaju,wiktionary
sramiti,sramim,sramiš,srami,sramimo,sramite,srame,wiktionary
pamtiti,pamtim,pamtiš,pamti,pamtimo,pamtite,pamte,wiktionary
pomoči,pomognem,pomogneš,pomogne,pomognemo,pomognete,pomognu,manual
naređivati,naređujem,naređuješ,naređuje,naređujemo,naređujete,naređuju,manual
svoditi,svodim,svodiš,svodi,svodimo,svodite,svode,wiktionary
usporediti,usporedim,usporediš,usporedi,usporedimo,usporedite,usporede,manual
peći,pečem,pečeš,peče,pečemo,pečete,peku,wiktionary
